item,itemLabel,startDate,endDate,constituency
Q5933752,مسعود پزشکیان ,2020-05-27,,Q20729886
Q5954492,احمد علیرضابیگی ,2020-05-27,,Q20729886
Q86653449,روح‌الله متفکر آزاد ,2020-05-27,,Q20729886
Q5920325,سید محمدرضا میرتاج‌الدینی ,2020-05-27,,Q20729886
Q5948321,محمدحسین فرهنگی ,2020-05-27,,Q20729886
Q16048831,علیرضا منادی سفیدان ,2020-05-27,,Q20729886
"",علی علیزاده ,2020-05-27,,Q25433253
Q86653695,معصومه پاشایی بهرام ,2020-05-27,,Q25433251
Q86653817,مهدی اسماعیلی ,2020-05-27,,Q25433260
"",سید مرتضی حسینی ,2020-05-27,,Q25433260
Q25425687,یوسف داوودی ,2020-05-27,,Q25433018
Q16051790,محمد باقری ,2020-05-27,,Q25433266
Q86653977,جعفر راستی,2020-05-27,,Q25433265
"",سید علی موسوی,2020-05-27,,Q25433269
Q86654208,احمد محرم‌زاده یخفروزان ,2020-05-27,,Q25433254
Q107506657,حسین حاتمی,2020-05-27,,Q25433280
Q16053472,غلامرضا نوری قزلجه ,2020-05-27,,Q25433268
Q25425358,سید حمزه امینی ,2020-05-27,,Q25433273
Q16044796,الله‌وردی دهقانی ,2020-05-27,,Q20731314
Q5720215,سید سلمان ذاکر ,2020-05-27,,Q24175791
Q24283713,روح‌الله حضرت‌پور طلائیه ,2020-05-27,,Q24175791
Q16046756,وحید جلال‌زاده ,2020-05-27,,Q24175791
Q16045693,انور حبیب‌زاده بوکانی ,2020-05-27,,Q25433465
Q97205699,کمال حسین‌پور,2020-05-27,,Q25433576
Q86654332,عادل نجف‌زاده,2020-05-27,,Q25433587
Q86654442,یعقوب رضازاده ,2020-05-27,,Q25433573
Q17465579,محمد علیپور رحمتی ,2020-05-27,,Q25433602
Q16048820,جلال محمودزاده ,2020-05-27,,Q25433466
Q16049114,مهدی عیسی‌زاده ,2020-05-27,,Q25433596
Q86684180,حسن همتی ,2020-05-27,,Q109548588
Q5703328,علی زنجانی حسنلویی ,2020-05-27,,Q25433597
Q4725098,علی نیکزاد ثُمرین ,2020-05-27,,Q20987735
Q16045787,سید کاظم موسوی ,2020-05-27,,Q20987735
Q23038966,صدیف بدری ,2020-05-27,,Q20987735
Q86684432,عباس جهانگیرزاده ,2020-05-27,,Q23682811
Q16047240,ولی اسماعیلی ,2020-05-27,,Q23682808
Q16053875,محمود عباس‌زاده مشکینی ,2020-05-27,,Q23682807
Q86685184,سید غنی نظری خانقاه ,2020-05-27,,Q23682809
Q86685768,امیرحسین بانکی پور فرد ,2020-05-27,,Q25433162
Q9632248,عباس مقتدایی خوراسگانی ,2020-05-27,,Q25433162
