@@,itemlabel,item,constituency,startdate
->,آرا شاوردیان->آرا شاوردیان ,Q85966740,Q25433333,2020-05-27
->,آرش زرهتن لهونی->آرش زره‌تن لهونی ,Q97203335,Q28712719,2020-05-27
->,ابراهیم رضایی->ابراهیم رضایی ,Q107572600,Q24043502,2020-05-27
->,ابراهیم عزیزی->ابراهیم عزیزی ,Q5331967,Q28712715,2020-05-27
->,ابراهیم عزیزی->ابراهیم عزیزی ,Q5331967,Q28712651,2020-05-27
->,ابوالفضل ابوترابی->ابوالفضل ابوترابی ,Q16046552,Q23682834,2020-05-27
->,ابوالفضل عمویی->ابوالفضل عمویی ,Q86710249,Q21177771,2020-05-27
->,احد آزادیخواه->احد آزادیخواه ,Q24175807,Q25433522,2020-05-27
->,احسان ارکانی->احسان ارکانی ,Q86496554,Q5943900,2020-05-27
->,احمد آوایی->سید احمد آوایی ,Q16047071,Q23682796,2020-05-27
->,احمد امیرآبادی فراهانی->احمد امیرآبادی فراهانی ,Q16047110,Q25432783,2020-05-27
->,احمد جباری->احمد جباری ,Q16047148,Q28712726,2020-05-27
->,احمد دنیامالی->احمد دنیامالی ,Q5889605,Q16046995,2020-05-27
->,احمد راستینه هفشجانی->احمد راستینه هفشجانی ,Q85966943,Q25432998,2020-05-27
->,احمد رسولینژاد->سید احمد رسولی‌نژاد ,Q16047184,Q25432992,2020-05-27
->,احمد محرمزاده یخفروزان->احمد محرم‌زاده یخفروزان ,Q86654208,Q25433254,2020-05-27
->,احمد مرادی->احمد مرادی ,Q23893952,Q28712728,2020-05-27
->,احمد نادری->احمد نادری ,Q86709770,Q21177771,2020-05-27
->,احمدحسین فلاحی->احمدحسین فلاحی ,Q86458132,Q25433509,2020-05-27
->,اسفندیار اختیاری->اسفندیار اختیاری ,Q6362752,Q25433337,2020-05-27
->,اسماعیل حسینزهی->اسماعیل حسین‌زهی,Q86452401,Q28712635,2020-05-27
->,اسماعیل کوثری->محمداسماعیل کوثری ,Q16048999,Q21177771,2020-05-27
->,اصغر سلیمی->اصغر سلیمی ,Q24175839,Q25433213,2020-05-27
->,اقبال شاکری->اقبال شاکری ,Q86710375,Q21177771,2020-05-27
->,اللهوردی دهقانی->الله‌وردی دهقانی ,Q16044796,Q20731314,2020-05-27
->,الهام آزاد->الهام آزاد ,Q86795134,Q23682835,2020-05-27
