@@,itemlabel,item,constituency,startdate
->,الیاس نادران->الیاس نادران ,Q5821032,Q21177771,2020-05-27
->,امان قلیج شادمهر->امان قلیج شادمهر ,Q97203486,Q25425003,2020-05-27
->,امانالله حسینپور->امان‌الله حسین‌پور,Q86495960,Q28712620,2020-05-27
->,امیرحسین بانکی پور فرد->امیرحسین بانکی پور فرد ,Q86685768,Q25433162,2020-05-27
->,امیرقلی جعفری بروجنی->امیرقلی جعفری بروجنی ,Q86458117,Q25433000,2020-05-27
->,انور حبیبزاده بوکانی->انور حبیب‌زاده بوکانی ,Q16045693,Q25433465,2020-05-27
->,اکبر احمدپور->اکبر احمدپور ,Q86501343,Q25433774,2020-05-27
->,بهروز محبی نجمآبادی->بهروز محبی نجم‌آبادی ,Q85968126,Q24175823,2020-05-27
->,بهزاد رحیمی->بهزاد رحیمی ,Q97203720,Q28712690,2020-05-27
->,بهزاد علیزاده->بهزاد علیزاده ,Q109550044,Q25433609,2020-05-27
->,بیژن نوباوه->بیژن نوباوه ,Q5701584,Q21177771,2020-05-27
->,جبار کوچکینژاد ارم ساداتی->جبار کوچکی‌نژاد ارم ساداتی ,Q16048365,Q5702688,2020-05-27
->,جعفر قادری->جعفر قادری ,Q16048714,Q28712651,2020-05-27
->,جلال رشیدی کوچی->جلال رشیدی کوچی ,Q86451635,NULL->Q26207270,2017->2020-05-27
->,جلال محمودزاده->جلال محمودزاده ,Q16048820,Q25433466,2020-05-27
->,جلیل رحیمی->جلیل رحیمی ,Q25425181,Q25433757,2020-05-27
->,جلیل مختار->جلیل مختار ,Q25425171,Q25433228,2020-05-27
->,جواد نیکبین->جواد نیک‌بین ,Q86496909,Q25433799,2020-05-27
->,جواد کریمی قدوسی->جواد کریمی قدوسی ,Q16053027,Q25433746,2020-05-27
->,حبیب آقاجری->حبیب آقاجری ,Q16049928,Q25433238,2020-05-27
->,حبیبالله دهمرده->حبیب‌الله دهمرده ,Q5953875,Q28712633,2020-05-27
->,حجتالله فیروزی->حجت‌الله فیروزی,Q86502408,Q26207276,2020-05-27
->,حسن رزمیان مقدم->حسن رزمیان مقدم ,Q16050440,Q25433786,2020-05-27
->,حسن شجاعی علیآبادی->حسن شجاعی علی‌آبادی ,Q86495131,Q25433690,2020-05-27
->,حسن لطفی->حسن لطفی ,Q25425620,Q25433505,2020-05-27
->,حسن محمدیاری->حسن محمدیاری ,Q97204038,Q28712776,2020-05-27
->,حسن نوروزی->حسن نوروزی ,Q16050695,Q25432994,2020-05-27
->,حسن همتی->حسن همتی ,Q86684180,Q109548588,2020-05-27
->,حسین جلالی->حسین جلالی ,Q97204051,Q28712709,2020-05-27
->,حسین حاتمی (سیاستمدار)->حسین حاتمی,Q107506657,Q25433280,2020-05-27
->,حسین حسینزاده->حسین حسین‌زاده ,Q86451665,Q26207272,2020-05-27
->,حسین حقوردی->حسین حق‌وردی ,Q86458066,Q25432993,2020-05-27
->,حسین خسروی اسفراز->حسین خسروی اسفراز ,Q86458009,Q25433148,2020-05-27
->,حسین عباسزاده امامی->حسین عباس‌زاده امامی ,Q86501624,Q25433755,2020-05-27
->,حسین محمدصالحی->حسین محمدصالحی دارانی,Q97220150,Q25433215,2020-05-27
->,حسین میرزایی->حسین میرزایی ,Q86797851,Q25433162,2020-05-27
->,حسین نوشآبادی->حسین نوش‌آبادی ,Q16051226,Q25432991,2020-05-27
->,حسین گودرزی->حسین گودرزی ,Q86804104,Q28712783,2020-05-27
->,حسینعلی حاجی دلیگانی->حسینعلی حاجی دلیگانی ,Q16051324,Q25433211,2020-05-27
->,حسینعلی شهریاری->حسینعلی شهریاری ,Q5951033,Q28712634,2020-05-27
->,حمیدرضا حاجیبابایی->حمیدرضا حاجی‌بابایی ,Q5644561,NULL->Q25433509,2016->2020-05-27
->,خلیل بهروزیفر->خلیل بهروزی‌فر,Q97213706,Q28712775,2020-05-27
->,ذبیحالله اعظمی ساردویی->ذبیح‌الله اعظمی ساردویی ,Q97204261,Q28712710,2020-05-27
->,رجب رحمانی->رجب رحمانی ,Q16045746,Q26207279,2020-05-27
->,رحمتالله فیروزی پوربادی->رحمت‌الله فیروزی پوربادی,Q86794569,Q25433224,2020-05-27
->,رحمتالله نوروزی->رحمت‌الله نوروزی ,Q16045837,Q28712754,2020-05-27
->,رحیم زارع->رحیم زارع ,Q16045860,Q28712655,2020-05-27
->,رسول فرخی میکال->رسول فرخی میکال ,Q97218714,Q5767826,2020-05-27
->,رضا آریانپور->رضا آریان‌پور ,Q97204344,Q25424835,2020-05-27
->,رضا تقیپور->رضا تقی‌پور ,Q4392343,Q21177771,2020-05-27
->,رضا حاجیپور->رضا حاجی‌پور ,Q85971172,Q26253603,2020-05-27
->,روبرت بگلریان->روبرت بگلریان ,Q16047026,Q25433334,2020-05-27
->,روحالله ایزدخواه->روح‌الله ایزدخواه,Q86709947,Q21177771,2020-05-27
->,روحالله حضرتپور طلائیه->روح‌الله حضرت‌پور طلائیه ,Q24283713,Q24175791,2020-05-27
->,روحالله عباسپور->روح‌الله عباس‌پور ,Q16053491,Q26207280,2020-05-27
->,روحالله متفکر آزاد->روح‌الله متفکر آزاد ,Q86653449,Q20729886,2020-05-27
->,روحالله نجابت->روح‌الله نجابت ,Q97220204,Q28712651,2020-05-27
->,زهراا شییخیی مببارکه->زهرا شیخی مبارکه ,Q86797324,Q25433162,2020-05-27
->,زهره الهیان->زهره الهیان ,Q16048408,NULL->Q21177771,2020->2020-05-27
->,زهره سادات لاجوردی->زهره سادات لاجوردی ,Q85971496,Q21177771,2020-05-27
->,سارا فلاحی->سارا فلاحی ,Q86800976,Q25433614,2020-05-27
->,سلمان اسحاقی->سلمان اسحاقی ,Q86457956,Q25433154,2020-05-27
->,سمیه رفیعی->سمیه رفیعی ,Q86690463,Q21177771,2020-05-27
->,سمیه محمودی->سمیه محمودی ,Q25425598,Q24519295,2020-05-27
->,سهراب گیلانی->سهراب گیلانی ,Q25425368,Q23682791,2020-05-27
->,سید احسان خاندوزی->سید احسان خاندوزی ,Q86710817,Q21177771,2020-05-27
->,سید احسان قاضیزاده هاشمی->سید احسان قاضی‌زاده هاشمی ,Q25425416,Q25433795,2020-05-27
->,سید امیرحسین قاضیزاده هاشمی->سید امیرحسین قاضی‌زاده هاشمی ,Q16045275,Q25433746,2008-05-27->2020-05-27
+++,سید جلیل میرمحمدی میبدی ,,Q25433127,2020-05-27
->,سید جواد حسینی کیا->سید جواد حسینی کیا ,Q24175810,Q28712720,2020-05-27
->,سید جواد ساداتی نژاد->سید جواد ساداتی نژاد ,Q25425402,Q23682840,2020-05-27
->,سید حاجی محمد موحد->سید حاجی محمد موحد ,Q16045325,Q25433283,2020-05-27
->,سید حمزه امینی->سید حمزه امینی ,Q25425358,Q25433273,2020-05-27
->,سید حمیدرضا کاظمی->سید حمیدرضا کاظمی ,Q25425304,Q28712782,2020-05-27
->,سید رضا تقوی->سید رضا تقوی ,Q5924956,Q21177771,2020-05-27
->,سید سلمان ذاکر->سید سلمان ذاکر ,Q5720215,Q24175791,2020-05-27
->,سید شمسالدین حسینی->سید شمس‌الدین حسینی ,Q180840,Q26253601,2020-05-27
->,سید صادق طباطبایی نژاد->سید صادق طباطبایی نژاد ,Q25425391,Q25433200,2020-05-27
->,سید علی آقازاده دافساری->سیدعلی آقازاده دافساری ,Q4724563,Q5702688,2020-05-27
+++,سید علی موسوی,,Q25433269,2020-05-27
->,سید علی یزدیخواه->سید علی یزدی‌خواه,Q86690219,Q21177771,2020-05-27
->,سید غنی نظری خانقاه->سید غنی نظری خانقاه ,Q86685184,Q23682809,2020-05-27
->,سید مجتبی محفوظی->سید مجتبی محفوظی ,Q86495675,Q25433228,2020-05-27
->,سید محسن دهنوی->سید محسن دهنوی ,Q97220253,Q21177771,2020-05-27
->,سید محمد مولوی->سید محمد مولوی ,Q97220264,Q25433228,2020-05-27
->,سید محمد پاکمهر->سید محمد پاک‌مهر,Q86496331,Q28712616,2020-05-27
->,سید محمدرضا میرتاجالدینی->سید محمدرضا میرتاج‌الدینی ,Q5920325,Q20729886,2020-05-27
+++,سید مرتضی حسینی ,,Q25433260,2020-05-27
->,سید مسعود خاتمی->سید مسعود خاتمی ,Q85972102,Q23682838,2020-05-27
->,سید مصطفی میرسلیم->سید مصطفی میرسلیم ,Q5956077,Q21177771,2020-05-27
->,سید ناصر حسینیپور->سید ناصر حسینی‌پور ,Q28713067,Q25433281,2020-05-27
->,سید ناصر موسوی لارگانی->سید ناصر موسوی لارگانی ,Q5955497,Q23682869,2020-05-27
->,سید نظامالدین موسوی->سید نظام‌الدین موسوی,Q86709406,Q21177771,2020-05-27
->,سید کاظم دلخوش اباتری->سید کاظم دلخوش اباتری ,Q16045770,Q28712774,2020-05-27
->,سید کاظم موسوی->سید کاظم موسوی ,Q16045787,Q20987735,2020-05-27
->,سید کریم حسینی->سید کریم حسینی ,Q86495812,Q25433229,2020-05-27
->,سیدموسی موسوی->سید موسی موسوی ,Q16046015,Q26207271,2020-05-27
->,سینا کمالخانی->سینا کمال‌خانی ,Q86804332,Q25938144,2020-05-27
->,شارلی انویه تکیه->شارلی انویه تکیه ,Q97218862,Q25433344,2020-05-27
->,شبیب جویجری->شبیب جویجری ,Q16047595,Q25433229,2020-05-27
->,شهباز حسنپور بیگلری->شهباز حسن‌پور بیگلری ,Q16048267,Q28712708,2020-05-27
->,شیوا قاسمیپور->شیوا قاسمی‌پور ,Q97204589,Q28712691,2020-05-27
->,صدیف بدری->صدیف بدری ,Q23038966,Q20987735,2020-05-27
->,صمدالله محمدی->صمدالله محمدی ,Q97204609,Q65195238,2020-05-27
->,عادل نجفزاده->عادل نجف‌زاده,Q86654332,Q25433587,2020-05-27
->,عباس جهانگیرزاده->عباس جهانگیرزاده ,Q86684432,Q23682811,2020-05-27
->,عباس مقتدایی->عباس مقتدایی خوراسگانی ,Q9632248,Q25433162,2020-05-27
->,عباس گلرو->عباس گلرو ,Q86458464,Q22909995,2020-05-27
->,عباس گودرزی بروجردی->عباس گودرزی بروجردی ,Q24175806,Q28712780,2020-05-27
->,عبدالجلال ایری->عبدالجلال ایری ,Q109549842,Q28712755,2020-05-27
->,عبدالحسین روحالامینی->عبدالحسین روح‌الامینی ,Q42532452,Q21177771,2020-05-27
->,عبدالرضا مصری->عبدالرضا مصری ,Q4665108,Q28712715,2020-05-27
->,عبدالله ایزدپناه->عبدالله ایزدپناه ,Q86495535,Q25433231,2020-05-27
->,عبدالناصر درخشان->عبدالناصر درخشان ,Q86458182,Q28712631,2020-05-27
->,عبدالکریم جمیری->عبدالکریم جمیری ,Q16053397,Q24043503,2020-05-27
->,عزتالله اکبری تالارپشتی->عزت‌الله اکبری تالارپشتی ,Q16051546,Q21177771,2020-05-27
->,عفت شریعتی کوه بنانی->عفت شریعتی کوهبنانی ,Q5347214,Q28712711,2020-05-27
->,علی آذری->علی آذری ,Q86496488,Q25433761,2020-05-27
->,علی اکبر کریمی->علی اکبر کریمی ,Q23893951,Q25938145,2020-05-27
->,علی بابایی کارنامی->علی بابایی کارنامی ,Q97220321,Q26253604,2020-05-27
->,علی حدادی->علی حدادی ,Q86798597,Q22001292,2020-05-27
->,علی رضایی->علی رضایی ,Q98079570,Q28712722,2020-05-27
->,علی زنجانی حسنلوئی->علی زنجانی حسنلویی ,Q5703328,Q25433597,2020-05-27
+++,علی علیزاده ,,Q25433253,2020-05-27
---,علی لاریجانی,Q336363,Q25432783,2008-05-28
->,علی نیکزاد->علی نیکزاد ثُمرین ,Q4725098,Q20987735,2020-05-27
->,علی کریمی فیروزجایی->علی کریمی فیروزجایی ,Q16053526,Q24175819,2020-05-27
->,علیاصغر باقرزاده->علی اصغر باقرزاده ,Q86458156,Q26253600,2020-05-27
->,علیاصغر خانی->علی‌اصغر خانی ,Q86458322,Q22909993,2020-05-27
->,علیاصغر عنابستانی->علی‌اصغر عنابستانی ,Q16049017,Q24175823,2020-05-27
->,علیاکبر بسطامی->علی‌اکبر بسطامی ,Q97305096,Q25433614,2020-05-27
->,علیاکبر علیزاده برمی->علی‌اکبر علیزاده برمی ,Q86687482,Q22909992,2020-05-27
->,علیرضا بیگی->احمد علیرضابیگی ,Q5954492,Q20729886,2020-05-27
->,علیرضا زاکانی->علیرضا زاکانی ,Q5950108,Q25432783,2020-05-27
+++,علیرضا زندیان ,,Q28712689,2020-05-27
->,علیرضا سلیمی->علیرضا سلیمی ,Q52295880,Q25938153,2020-05-27
->,علیرضا شهبازی->علیرضا شهبازی ,Q85973062,Q25433516,2020-05-27
->,علیرضا عباسی (نماینده)->علیرضا عباسی ,Q105124375,Q22001293,2020-05-27
->,علیرضا منادی سفیدان->علیرضا منادی سفیدان ,Q16048831,Q20729886,2020-05-27
->,علیرضا نظری->علیرضا نظری ,Q97192769,Q25433729,2020-05-27
->,علیرضا ورناصری->علیرضا ورناصری ,Q85973082,Q23682790,2020-05-27
->,علیرضا پاک فطرت->علیرضا پاک فطرت ,Q85973084,Q28712651,2020-05-27
->,عیسی جعفری->عیسی جعفری ,Q16049488,Q25433502,2020-05-27
->,غلامحسین کرمی->غلامحسین کرمی ,Q97219149,Q24043500,2020-05-27
->,غلامرضا شریعتی اندراتی->غلامرضا شریعتی,Q104889199,Q26253602,2020-05-27
->,غلامرضا مرحبا->غلامرضا مرحبا ,Q97204849,Q16046985,2020-05-27
->,غلامرضا نوری قزلجه->غلامرضا نوری قزلجه ,Q16053472,Q25433268,2020-05-27
->,غلامعلی کوهساری->غلامعلی کوهساری ,Q26849025,Q28712752,2020-05-27
->,فاطمه قاسمپور->فاطمه قاسم‌پور,Q86689406,Q21177771,2020-05-27
->,فاطمه محمدبیگی->فاطمه محمدبیگی ,Q86451607,Q26207284,2020-05-27
->,فاطمه مقصودی->فاطمه مقصودی ,Q86801922,Q28712780,2020-05-27
->,فداحسین مالکی->فداحسین مالکی ,Q5872707,Q28712634,2020-05-27
->,فرهاد بشیری->فرهاد بشیری ,Q5956334,Q25432990,2020-05-27
->,فریدون حسنوند->فریدون حسنوند ,Q16051327,Q25433226,2020-05-27
->,فریدون عباسی دوانی->فریدون عباسی ,Q1342153,Q26207274,2020-05-27
->,قاسم ساعدی->قاسم ساعدی ,Q25425165,Q23682793,2020-05-27
->,قدرتالله حمزه->قدرت‌الله حمزه,Q97220367,Q25433002,2020-05-27
->,لطفالله سیاه کلی->لطف‌الله سیاه کلی ,Q86451893,Q26207284,2020-05-27
->,مجتبی بخشیپور->مجتبی بخشی پور,Q104530267,Q28712718,2020-05-27
->,مجتبی ذوالنور->مجتبی ذوالنور ,Q23024142,Q25432783,2020-05-27
->,مجتبی رضاخواه->مجتبی رضاخواه ,Q86689228,Q21177771,2020-05-27
->,مجتبی یوسفی->مجتبی یوسفی ,Q86495721,Q25433229,2020-05-27
->,مجید انصاری->مجید انصاری ,Q97219350,Q26207273,2020-05-27
->,مجید ناصرینژاد->مجید ناصری‌نژاد ,Q16051290,Q23682795,2020-05-27
->,مجید نصیرایی->مجید نصیرایی ,Q86457906,Q22001224,2020-05-27
->,محسن زنگنه->محسن زنگنه ,Q86501874,Q25433752,2020-05-27
->,محسن فتحی->محسن فتحی ,Q97205090,Q28712688,2020-05-27
->,محمد آشوری تازیانی->محمد آشوری تازیانی ,Q16051705,Q28712728,2020-05-27
->,محمد باقری->محمد باقری ,Q16051790,Q25433266,2020-05-27
->,محمد خدابخشی->محمد خدابخش ,Q25425311,Q28712779,2020-05-27
->,محمد رشیدی->محمد رشیدی ,Q97205160,Q28712715,2020-05-27
->,محمد سبزی->محمد سبزی ,Q86458142,Q25938152,2020-05-27
->,محمد سرگزی->محمد سرگزی ,Q86452082,Q28712633,2020-05-27
->,محمد صفایی دلوئی->محمد صفایی دلوئی ,Q86496828,Q25433770,2020-05-27
->,محمد صفری ملکیان->محمد صفری ملکیان ,Q97205172,Q28712772,2020-05-27
+++,محمد علی بیگی ,,,2020-05-27
->,محمد علیپور رحمتی->محمد علیپور رحمتی ,Q17465579,Q25433602,2020-05-27
->,محمدباقر قالیباف->محمدباقر قالیباف ,Q542074,Q21177771,2020-05-27
->,محمدتقی نقدعلی->محمدتقی نقدعلی ,Q86796515,Q25433212,2020-05-27
->,محمدجواد عسگری->محمدجواد عسگری ,Q86687269,Q26207278,2020-05-27
->,محمدحسن آصفری->محمدحسن آصفری ,Q16074516,Q25938145,2020-05-27
->,محمدحسین حسینزاده بحرینی->محمدحسین حسین‌زاده بحرینی ,Q16052838,Q25433746,2020-05-27
->,محمدحسین فرهنگی->محمدحسین فرهنگی ,Q5948321,Q20729886,2020-05-27
->,محمدرضا احمدی سنگری->محمدرضا احمدی سنگری ,Q97304900,Q5702688,2020-05-27
->,محمدرضا دشتی اردکانی->محمدرضا دشتی اردکانی ,Q28713701,Q25433123,2020-05-27
->,محمدرضا رضایی کوچی->محمدرضا رضایی کوچی ,Q16053021,Q16047004,2020-05-27
->,محمدرضا صباغیان بافقی->محمدرضا صباغیان ,Q25425593,Q25433122,2020-05-27
->,محمدرضا پورابراهیمی داورانی->محمدرضا پورابراهیمی داورانی ,Q16053175,Q28712705,2020-05-27
->,محمدصالح جوکار->محمدصالح جوکار ,Q5956563,Q25433128,2020-05-27
+++,محمدعلی رمضانی ,Q86709709,Q28712771,2020-05-27
->,محمدمهدی زاهدی->محمدمهدی زاهدی ,Q10290285,Q28712705,2020-05-27
->,محمدمهدی مفتح->محمدمهدی مفتح ,Q5940798,Q25433504,2020-05-27
->,محمود احمدی بیغش->محمود احمدی بیغش ,Q16053789,Q25433830,2020-05-27
->,محمود عباسزاده مشکینی->محمود عباس‌زاده مشکینی ,Q16053875,Q23682807,2020-05-27
->,محمود نبویان->سید محمود نبویان ,Q29018332,Q21177771,2020-05-27
->,مرتضی آقاتهرانی->مرتضی آقاتهرانی ,Q10858287,Q21177771,2020-05-27
->,مرتضی خاتمی->مرتضی خاتمی ,Q25425417,Q25433678,2020-05-27
->,مرتضی محمودوند->مرتضی محمودوند ,Q86801324,Q28712778,2020-05-27
->,مسعود پزشکیان->مسعود پزشکیان ,Q5933752,Q20729886,2020-05-27
->,مسلم صالحی->مسلم صالحی ,Q97205282,Q28712653,2020-05-27
->,مصطفی رضاحسینی قطبآبادی->مصطفی رضاحسینی قطب‌آبادی ,Q16047315,Q28712713,2020-05-27
->,مصطفی طاهری->مصطفی طاهری ,Q86495156,Q25433683,2020-05-27
->,مصطفی نخعی->مصطفی نخعی ,Q86457983,Q25433151,2020-05-27
->,معصومه پاشایی بهرام->معصومه پاشایی بهرام ,Q86653695,Q25433251,2020-05-27
->,معینالدین سعیدی->معین‌الدین سعیدی ,Q86452159,Q28712632,2020-05-27
->,منصور آرامی->منصور آرامی ,Q16048379,Q28712728,2020-05-27
->,منصور شکراللهی->منصور شکراللهی ,Q97205323,Q28712712,2020-05-27
->,منصورعلی زارعی->منصورعلی زارعی ,Q97220492,Q26253604,2020-05-27
->,مهدی اسماعیلی->مهدی اسماعیلی ,Q86653817,Q25433260,2020-05-27
->,مهدی باقری->مهدی باقری ,Q107101911,Q25433683,2020-05-27
->,مهدی روشنفکر->مهدی روشنفکر ,Q97205353,Q25433284,2020-05-27
->,مهدی سعادتی->مهدی سعادتی ,Q86458177,Q24175819,2020-05-27
->,مهدی شریفیان->مهدی شریفیان ,Q97220509,Q21177771,2020-05-27
->,مهدی طغیانی->مهدی طغیانی ,Q86686317,Q25433162,2020-05-27
->,مهدی عسگری->مهدی عسگری ,Q86798264,Q22001293,2020-05-27
->,مهدی عیسیزاده->مهدی عیسی‌زاده ,Q16049114,Q25433596,2020-05-27
->,مهدی فرشادان->مهدی فرشادان ,Q25425351,Q28712688,2020-05-27
->,مهرداد ویسکرمی->مهرداد ویس‌کرمی ,Q86801633,Q28712778,2020-05-27
->,موسی احمدی->موسی احمدی ,Q16050184,Q24043499,2020-05-27
->,موسی غضنفرآبادی->موسی غضنفرآبادی ,Q16050247,Q28712706,2020-05-27
->,نصرالله پژمانفر->نصرالله پژمان‌فر ,Q5945593,Q25433746,2020-05-27
->,هاجر چنارانی->هاجر چنارانی ,Q25425205,Q5943900,2020-05-27
->,هادی بیگینژاد->هادی بیگی‌نژاد ,Q86452410,Q25433522,2020-05-27
->,همایون سامهیح نجفآبادی->همایون سامه‌یح نجف‌آبادی ,Q97191351,Q25433343,2020-05-27
->,وحید جلالزاده->وحید جلال‌زاده ,Q16046756,Q24175791,2020-05-27
->,ولی اسماعیلی->ولی اسماعیلی ,Q16047240,Q23682808,2020-05-27
->,ولیالله فرزانه->ولی‌الله فرزانه,Q86803706,Q26253599,2020-05-27
->,پرویز اوسطی->پرویز اوسطی ,Q97205577,Q28712692,2020-05-27
->,پرویز محمدنژاد قاضیمحله->پرویز محمدنژاد قاضی‌محله,Q97205586,Q28712777,2020-05-27
->,پروین صالحی مبارکه->پروین صالحی مبارکه ,Q86795440,Q23682836,2020-05-27
->,کمال حسینپور->کمال حسین‌پور,Q97205699,Q25433576,2020-05-27
->,کمال علیپور خنکداری->کمال علی‌پور خنکداری (۱۳۴۶؛,Q16074922,Q25433051,2020-05-27
->,کیوان مرادیان کوچکسرایی->کیوان مرادیان کوچک‌سرایی ,Q86458158,Q25433051,2020-05-27
->,کیومرث سرمدی->کیومرث سرمدی ,Q86452413,Q25433500,2020-05-27
->,یحیی ابراهیمی->یحیی ابراهیمی ,Q86802215,Q28712781,2020-05-27
->,یعقوب رضازاده->یعقوب رضازاده ,Q86654442,Q25433573,2020-05-27
->,یوسف داوودی->یوسف داوودی ,Q25425687,Q25433018,2020-05-27
