position,title
Q27986870,Advisor to the President
Q16049742,Government Spokesperson
Q60149120,Chairman of the Assembly of Experts
Q101117334,Secretary of the Supreme National Security Council
Q96375335,Commander of the Navy
Q106998117,Commander-in-chief of the Revolutionary Guard
Q106960625,First Vice Chief Justice
Q107391283,First Vice Chief Justice
Q106975471,Governor of Isfahan Province
Q108608258,ambassador to Armenia
Q107253232,ambassador to Belgium
Q40337860,ambassador to Canada
Q16074209,ambassador to China
Q88634479,ambassador to Egypt
Q27038402,ambassador to France
Q107249933,ambassador to Italy
Q106726546,ambassador to Japan
Q87982622,ambassador to Malaysia
Q87411812,ambassador to Morocco
Q27038380,ambassador to Pakistan
Q27038275,ambassador to Poland
Q107249825,ambassador to Ireland
Q107249908,ambassador to Spain
Q87142629,ambassador to Syria
Q84177448,ambassador to the United Kingdom
Q87897294,ambassador to the United States of America
Q87396387,ambassador to the Holy See
Q7169241,Permanent Representative to the United Nations
Q30055513,ambassador of Iran
