pageid,title
262775,Ali Shamkhani
385653,Ali Khamenei
1421458,Mohammad Bagher Ghalibaf
1862765,Mohsen Rezaee
2141169,Ahmad Jannati
3002270,Gholam-Hossein Mohseni-Eje'i
8898525,Sadeq Larijani
13419725,Mohammad Khazaee
17446126,Ezzatollah Zarghami
24098397,Ahmad Vahidi
24108485,Ali Akbar Mehrabian
25547852,Masoud Mir Kazemi
32083224,Hamid Sajjadi
32548562,Rostam Ghasemi
35139119,Mohammad Ali Zolfigol
38385760,Mohammad Hosseini (politician)
39174299,Alireza Zakani
40415481,Marzieh Afkham
42392537,Sowlat Mortazavi
47309758,Hossein Amir-Abdollahian
48800567,Hossein Salami
49679283,Ebrahim Raisi
50141232,Mohammad Bagheri (Iranian commander)
50750549,Hamid Baeidinejad
53022743,Saleh Adibi
54011242,Mohammad Dehghan
54308220,Mohammad Bagher Zolghadr
54682177,Amir-Hossein Ghazizadeh Hashemi
58624374,Mohammad Mohammadi Golpayegani
61768138,Bahram Ghasemi
62529852,Mohammad Mokhber
68700652,Bahram Eynollahi
68779261,Mohammad-Reza Gharaei Ashtiani
69173357,Issa Zarepour
69384112,Yousef Nouri
69494806,Shahram Irani
69907892,Ehsan Khandozi
69908738,Esmaeil Khatib
69914127,Javad Owji
69914452,Amin Hossein Rahimi
70285632,Gholam-Hossein Esmaeili
70363999,Ensieh Khazali
70364045,Ali Salajegheh
70364145,Javad Sadatinejad
70364155,Meysam Latifi
70364167,Mohammad Eslami
70364197,Mohammad Mehdi Esmaili
70364213,Reza Fatemi Amin
